Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule
Казань,Выездной менеджер по текущим клиентам,От 1 года до 3 лет,120000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,"Менеджер по продажам (ПолиТэр), Казань",От 1 года до 3 лет,225000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Зеленодольск (Республика Татарстан),Оператор call-центра / Телемаркетолог на обработку готовой базы (без продаж),Нет опыта,55000.0,"Оператор call-центра, специалист контактного центра",Полный день
Казань,Менеджер по работе с клиентами (строймонтаж),От 1 года до 3 лет,90000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,Бухгалтер,От 1 года до 3 лет,25000.0,Бухгалтер,Удаленная работа
Казань,Разработчик-стажер Python (parsing+backend),Нет опыта,100000.0,"Программист, разработчик",Гибкий график
Казань,Рабочий на завод,Нет опыта,140000.0,Разнорабочий,Вахтовый метод
Казань,Рабочий на военный завод,Нет опыта,145000.0,Разнорабочий,Вахтовый метод
Казань,Водитель руководителя,Более 6 лет,80000.0,Водитель,Полный день
Набережные Челны,Бухгалтер по первичной документации,От 1 года до 3 лет,60000.0,Бухгалтер,Полный день
Казань,UX/UI дизайнер,От 1 года до 3 лет,120000.0,"Дизайнер, художник",Полный день
Казань,Модератор вебинаров в онлайн-школу (удаленно),Нет опыта,35000.0,Другое,Удаленная работа
Бавлы,Заместитель начальника цеха,От 1 года до 3 лет,,"Начальник смены, мастер участка",Полный день
Казань,Продавец-консультант (сотрудник копицентра),Нет опыта,50000.0,Другое,Сменный график
Казань,Юрисконсульт,От 1 года до 3 лет,80000.0,Юрисконсульт,Полный день
Казань,Помощник Нотариуса. Нотариус Салахова Э.М.,От 1 года до 3 лет,80000.0,Юрисконсульт,Полный день
Казань,Территориальный менеджер по ПФО,От 1 года до 3 лет,,Супервайзер,Полный день
Казань,Стажер-тестировщик,Нет опыта,,Тестировщик,Полный день
Казань,Заместитель директора по экономике и финансам,От 3 до 6 лет,,Финансовый директор (CFO),Полный день
Казань,Продавец-кассир,Нет опыта,45000.0,"Продавец-консультант, продавец-кассир",Полный день
Казань,Менеджер по продажам (Меркатор),От 1 года до 3 лет,150000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Альметьевск,Оператор производственной линии,Нет опыта,72500.0,Оператор производственной линии,Полный день
Казань,Управляющий промышленным парком,От 3 до 6 лет,140000.0,Руководитель строительного проекта,Полный день
Казань,Суетолог,Нет опыта,470000.0,Агент по недвижимости,Полный день
Набережные Челны,Водитель с личным легковым автомобилем,От 3 до 6 лет,100000.0,Водитель,Полный день
Набережные Челны,Начальник бюро,От 1 года до 3 лет,110000.0,Экономист,Полный день
Казань,Няня,Нет опыта,90000.0,Другое,Полный день
Казань,Специалист отдела кадров (неполный рабочий день),От 1 года до 3 лет,50000.0,Специалист по кадрам,Полный день
Казань,Вожатый в летний городской лагерь,Нет опыта,22500.0,"Воспитатель, няня",Полный день
Казань,Специалист по работе с документами,Нет опыта,52500.0,"Делопроизводитель, архивариус",Полный день
Казань,Водитель персональный,Более 6 лет,90000.0,Водитель,Полный день
Казань,Аналитик данных,Нет опыта,140000.0,Аналитик,Полный день
Казань,Front-end разработчик,От 1 года до 3 лет,,"Программист, разработчик",Полный день
Казань,Frontend-разработчик,От 1 года до 3 лет,115000.0,"Программист, разработчик",Гибкий график
Казань,Помощник по недвижимости (удалённая подработка),Нет опыта,90000.0,Другое,Удаленная работа
Казань,Помощник детектива,Нет опыта,,"Секретарь, помощник руководителя, ассистент",Гибкий график
Казань,Графический дизайнер,От 1 года до 3 лет,87500.0,"Дизайнер, художник",Удаленная работа
Казань,Персональный водитель,От 3 до 6 лет,50000.0,Водитель,Полный день
Елабуга,Сборщик-комплектовщик БПЛА,От 1 года до 3 лет,50000.0,Другое,Полный день
Казань,Супервайзер территории,От 1 года до 3 лет,92000.0,Супервайзер,Полный день
Казань,Frontend Developer,От 3 до 6 лет,,"Программист, разработчик",Полный день
Казань,Заместитель директора по продажам,От 3 до 6 лет,110000.0,"Директор магазина, директор сети магазинов",Полный день
Альметьевск,Диспетчер-логист,От 1 года до 3 лет,50000.0,Диспетчер,Полный день
Казань,Водитель - снабженец,Нет опыта,70000.0,Водитель,Полный день
Казань,Водитель автомобиля,От 3 до 6 лет,62000.0,Водитель,Полный день
Казань,Главный бухгалтер,От 1 года до 3 лет,150000.0,Бухгалтер,Полный день
Казань,Помощник бизнесвумен,Нет опыта,95000.0,Другое,Сменный график
Казань,Оператор ПК,От 1 года до 3 лет,57000.0,"Оператор ПК, оператор базы данных",Полный день
Казань,Заместитель генерального директора,От 1 года до 3 лет,325000.0,Операционный директор (COO),Полный день
Казань,Чат-менеджер в студию украшений (удаленно),Нет опыта,47500.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Казань,Юрист,От 3 до 6 лет,80000.0,Юрист,Полный день
Казань,Грузчик-стропальщик,Нет опыта,60000.0,Другое,Полный день
Казань,Юрист,Нет опыта,100000.0,Юрист,Полный день
Казань,Менеджер по продажам (без поиска),Нет опыта,70000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,Менеджер отдела продаж,От 1 года до 3 лет,100000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,Бортпроводник/бортпроводница,Нет опыта,240000.0,Бортпроводник,Гибкий график
Казань,Менеджер по продажам B2B,Нет опыта,85000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,Личный водитель в Индустриальный парк М-7,От 3 до 6 лет,60000.0,Водитель,Полный день
Казань,Управляющий салонами,От 1 года до 3 лет,150000.0,"Директор магазина, директор сети магазинов",Полный день
Казань,Личный ассистент семьи,От 1 года до 3 лет,75000.0,"Секретарь, помощник руководителя, ассистент",Удаленная работа
Набережные Челны,Начинающий IT специалист,Нет опыта,97500.0,Другое,Полный день
Казань,Ассистент отдела продаж \ Менеджер по сопровождению продаж,Нет опыта,62500.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день
Казань,Бухгалтер,От 3 до 6 лет,70000.0,Бухгалтер,Полный день
Казань,Начальник ОТК,Более 6 лет,160000.0,Инженер по качеству,Полный день
Казань,Геодезист,От 1 года до 3 лет,150000.0,Геодезист,Полный день
Казань,Чат-менеджер,Нет опыта,62500.0,"Менеджер по продажам, менеджер по работе с клиентами",Удаленная работа
Казань,Водитель автомобиля категории B,Нет опыта,90000.0,Водитель,Полный день
