Location,Vacancy Name,Experience Required,Average Salary,Industry,Schedule,Experience,City,Population,Schedule Encoded
Йошкар-Ола,Менеджер по логистике,От 1 года до 3 лет,52000.0,"Менеджер по логистике, менеджер по ВЭД",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Диспетчер в управляющую компанию,Нет опыта,37500.0,Другое,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Таргетолог / Помощник таргетолога / Начинающий таргетолог,От 1 года до 3 лет,60000.0,"Менеджер по маркетингу, интернет-маркетолог",Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по работе с клиентами,Нет опыта,40000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по персоналу,Нет опыта,45000.0,Менеджер по персоналу,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по лизингу,От 1 года до 3 лет,300000.0,Другое,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Администратор интернет-магазина,Нет опыта,50000.0,"Администратор магазина, администратор торгового зала",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Оператор склада,Нет опыта,65000.0,"Оператор ПК, оператор базы данных",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Заместитель управляющего,От 3 до 6 лет,82759.0,"Администратор магазина, администратор торгового зала",Сменный график,4,Йошкар-Ола,248700.0,2
Йошкар-Ола,Администратор,От 1 года до 3 лет,35000.0,Администратор,Сменный график,2,Йошкар-Ола,248700.0,2
Йошкар-Ола,"Продавец-консультант, г. Йошкар-Ола",Нет опыта,47500.0,"Продавец-консультант, продавец-кассир",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Рабочий на производство,Нет опыта,50000.0,Другое,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Менеджер по платным услугам,Нет опыта,27500.0,Другое,Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Маркетолог,Нет опыта,40000.0,"Менеджер по маркетингу, интернет-маркетолог",Полный день,0,Йошкар-Ола,248700.0,1
Йошкар-Ола,Заместитель главного бухгалтера,От 3 до 6 лет,48000.0,Бухгалтер,Полный день,4,Йошкар-Ола,248700.0,1
Йошкар-Ола,Специалист по материально-техническому снабжению,От 1 года до 3 лет,36500.0,Менеджер по закупкам,Полный день,2,Йошкар-Ола,248700.0,1
Йошкар-Ола,Офис-менеджер,Нет опыта,24000.0,Другое,Сменный график,0,Йошкар-Ола,248700.0,2
Казань,Выездной менеджер по текущим клиентам,От 1 года до 3 лет,120000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Казань,1143600.0,1
Казань,"Менеджер по продажам (ПолиТэр), Казань",От 1 года до 3 лет,225000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Казань,1143600.0,1
Казань,Менеджер по работе с клиентами (строймонтаж),От 1 года до 3 лет,90000.0,"Менеджер по продажам, менеджер по работе с клиентами",Полный день,2,Казань,1143600.0,1
